kelurahanid,subdistrictname,kelurahanname,recordstatus
7706,BATU LAPPA,BATU LAPPA,1
7707,BATU LAPPA,BATU LAPPA,1
7708,BATU LAPPA,BATU LAPPA,1
7709,CEMPA,CEMPA,1
7710,DUAMPANUA,DUAMPANUA,1
7711,LANRISANG,LANRISANG,1
7712,LANRISANG,LANRISANG,1
7713,MATTIRO BULU,MATTIRO BULU,1
7714,MATTIROSOMPE,MATTIROSOMPE,1
7715,PALETEANG,PALETEANG,1
7716,PALETEANG,PALETEANG,1
7717,PALETEANG,PALETEANG,1
7718,PALETEANG,PALETEANG,1
7719,PATAMPANUA,PATAMPANUA,1
7720,SUPPA,SUPPA,1
7721,TIROANG,TIROANG,1
7722,TIROANG,TIROANG,1
7723,TIROANG,TIROANG,1
7724,TIROANG,TIROANG,1
7725,WATANG SAWITTO,WATANG SAWITTO,1
7726,WATANG SAWITTO,WATANG SAWITTO,1
7727,WATANG SAWITTO,WATANG SAWITTO,1
7728,ANREAPI,ANREAPI,1
7729,ANREAPI,ANREAPI,1
7730,ARALLE,ARALLE,1
7731,ARALLE,ARALLE,1
7732,BALANIPA,BALANIPA,1
7733,BALANIPA,BALANIPA,1
7734,CAMPALAGIAN,CAMPALAGIAN,1
7735,LIMBORO,LIMBORO,1
7736,LIMBORO,LIMBORO,1
7737,LUJO,LUJO,1
7738,LUJO,LUJO,1
7739,MAMBI,MAMBI,1
7740,MAMBI,MAMBI,1
7741,MAPILLI,MAPILLI,1
7742,MAPILLI,MAPILLI,1
7743,MATAKALI,MATAKALI,1
7744,MATAKALI,MATAKALI,1
7745,MATAKALI,MATAKALI,1
7746,MATANGNGA,MATANGNGA,1
7747,MATANGNGA,MATANGNGA,1
7748,POLEWALI,POLEWALI,1
7749,POLEWALI,POLEWALI,1
7750,POLEWALI,POLEWALI,1
7751,POLEWALI,POLEWALI,1
7752,POLEWALI,POLEWALI,1
7753,POLEWALI,POLEWALI,1
7754,TABULAHAN,TABULAHAN,1
7755,TABULAHAN,TABULAHAN,1
7756,TAPANGO,TAPANGO,1
7757,TAPANGO,TAPANGO,1
7758,TINAMBUNG,TINAMBUNG,1
7759,TUBBI TARAMANU,TUBBI TARAMANU,1
7760,TUBBI TARAMANU,TUBBI TARAMANU,1
7761,TUTALLU,TUTALLU,1
7762,TUTALLU,TUTALLU,1
7763,WONOMULYO,WONOMULYO,1
7764,WONOMULYO,WONOMULYO,1
7765,BENTENG,BENTENG,1
7766,BENTENG,BENTENG,1
7767,BONTOHARU,BONTOHARU,1
7768,BONTOHARU,BONTOHARU,1
7769,BONTOHARU,BONTOHARU,1
7770,BONTOMANAI,BONTOMANAI,1
7771,BONTOMANAI,BONTOMANAI,1
7772,BONTOMATENE,BONTOMATENE,1
7773,BONTOMATENE,BONTOMATENE,1
7774,BONTOMATENE,BONTOMATENE,1
7775,BONTOSIKUYU,BONTOSIKUYU,1
7776,BONTOSIKUYU,BONTOSIKUYU,1
7777,BONTOSIKUYU,BONTOSIKUYU,1
7778,PASILAMBENA,PASILAMBENA,1
7779,PASILAMBENA,PASILAMBENA,1
7780,PASIMA SUNGGU,PASIMA SUNGGU,1
7781,PASIMA SUNGGU,PASIMA SUNGGU,1
7782,PASIMA SUNGGU,PASIMA SUNGGU,1
7783,PASIMARANNU,PASIMARANNU,1
7784,PASIMARANNU,PASIMARANNU,1
7785,PASIMARANNU,PASIMARANNU,1
7786,TAKABONERATE,TAKABONERATE,1
7787,TAKABONERATE,TAKABONERATE,1
7788,BARANTI,BARANTI,1
7789,DUAPITUE,DUAPITUE,1
7790,DUAPITUE,DUAPITUE,1
7791,KULO,KULO,1
7792,KULO,KULO,1
7793,MARITENGNGAE,MARITENGNGAE,1
7794,MARITENGNGAE,MARITENGNGAE,1
7795,PANCA LAUTANG,PANCA LAUTANG,1
7796,PANCA RIJANG,PANCA RIJANG,1
7797,PITU RIASE,PITU RIASE,1
7798,PITU RIASE,PITU RIASE,1
7799,PITU RIAWA,PITU RIAWA,1
7800,PITU RIAWA,PITU RIAWA,1
7801,SIDENRENG,SIDENRENG,1
7802,TELLULIMPOE,TELLULIMPOE,1
7803,WATANG PULU,WATANG PULU,1
7804,BULUPODDO,BULUPODDO,1
7805,BULUPODDO,BULUPODDO,1
7806,SINJAI BARAT,SINJAI BARAT,1
7807,SINJAI BARAT,SINJAI BARAT,1
7808,SINJAI BORONG,SINJAI BORONG,1
7809,SINJAI BORONG,SINJAI BORONG,1
7810,SINJAI SELATAN,SINJAI SELATAN,1
7811,SINJAI SELATAN,SINJAI SELATAN,1
7812,SINJAI TENGAH,SINJAI TENGAH,1
7813,SINJAI TENGAH,SINJAI TENGAH,1
7814,SINJAI TIMUR,SINJAI TIMUR,1
7815,SINJAI TIMUR,SINJAI TIMUR,1
7816,SINJAI UTARA,SINJAI UTARA,1
7817,SINJAI UTARA,SINJAI UTARA,1
7818,DONRI-DONRI,DONRI-DONRI,1
7819,GANRA,GANRA,1
7820,LALABATA,LALABATA,1
7821,LILIRIAJA,LILIRIAJA,1
7822,LILIRILAU,LILIRILAU,1
7823,MARIO RIAWA,MARIO RIAWA,1
7824,MARIO RIWAWO,MARIO RIWAWO,1
7825,GALESONG SELATAN,GALESONG SELATAN,1
7826,GALESONG SELATAN,GALESONG SELATAN,1
7827,GALESONG SELATAN,GALESONG SELATAN,1
7828,GALESONG UTARA,GALESONG UTARA,1
7829,GALESONG UTARA,GALESONG UTARA,1
7830,MANGARA BOMBANG,MANGARA BOMBANG,1
7831,MANGARA BOMBANG,MANGARA BOMBANG,1
7832,MANGARA BOMBANG,MANGARA BOMBANG,1
7833,MAPPAKASUNGGU,MAPPAKASUNGGU,1
7834,MAPPAKASUNGGU,MAPPAKASUNGGU,1
7835,PATTALLASSANG,PATTALLASSANG,1
7836,PATTALLASSANG,PATTALLASSANG,1
7837,POLOMBANGKENG UTARA,POLOMBANGKENG UTARA,1
7838,POLOMBANGKENG UTARA,POLOMBANGKENG UTARA,1
7839,POLOMBANGKENG UTARA,POLOMBANGKENG UTARA,1
7840,POLONGBANGKENG SELATAN,POLONGBANGKENG SELATAN,1
7841,POLONGBANGKENG SELATAN,POLONGBANGKENG SELATAN,1
7842,POLONGBANGKENG SELATAN,POLONGBANGKENG SELATAN,1
7843,AWAN RANTE KARUA,AWAN RANTE KARUA,1
7844,BARUPPU,BARUPPU,1
7845,BITTUANG,BITTUANG,1
7846,BONGGA KARADENG,BONGGA KARADENG,1
7847,BUNTU PEPASAN,BUNTU PEPASAN,1
7848,DENDE PIONGAN NAPO,DENDE PIONGAN NAPO,1
7849,GANDANGBATU SILLANAN,GANDANGBATU SILLANAN,1
7850,KAPALA PITU,KAPALA PITU,1
7851,KURRA,KURRA,1
7852,MAKALE,MAKALE,1
7853,MAKALE SELATAN,MAKALE SELATAN,1
7854,MAKALE UTARA,MAKALE UTARA,1
7855,MAPPAK,MAPPAK,1
7856,MASANDA,MASANDA,1
7857,MENGKENDEK,MENGKENDEK,1
7858,NANGGALA,NANGGALA,1
7859,RANTE PAO,RANTE PAO,1
7860,RANTETAYO,RANTETAYO,1
7861,REMBON,REMBON,1
7862,RINDING ALLO,RINDING ALLO,1
7863,SALUPUTTI,SALUPUTTI,1
